A.02. Código del centro educativo según último acuerdo de acreditación:,TOTAL HOMICIDIOS DEPARTAMENTALES,PORCENTAJE DE HOMICIDIOS A BASE DE POBLACION DEPARTAMENTAL,TOTAL HOMICIDIOS MUNICIPALES,PORCENTAJE DE HOMICIDIOS A BASE DE POBLACION MUNICIPAL
86530,94,0.0005,2,0.0002
86531,128,0.0005,10,0.0004
86532,128,0.0005,10,0.0004
86533,128,0.0005,10,0.0004
86534,128,0.0005,10,0.0004
86535,128,0.0005,18,0.0003
86536,128,0.0005,3,0.0004
86537,128,0.0005,2,0.0003
86538,218,0.0006,3,0.0003
86539,87,0.0003,4,0.0004
86540,87,0.0003,8,0.0005
86542,79,0.0005,28,0.0006
86543,79,0.0005,24,0.0003
86544,94,0.0005,8,0.0007
86545,94,0.0005,20,0.0014
86546,94,0.0005,2,0.0002
86547,404,0.0005,21,0.0007
86548,265,0.0004,24,0.0003
86551,279,0.0006,5,0.0005
86552,279,0.0006,18,0.0009
86553,174,0.0005,14,0.0013
88000,982,0.0006,108,0.0008
88001,174,0.0005,51,0.0004
88002,982,0.0006,97,0.0003
88003,174,0.0005,51,0.0004
88004,174,0.0005,5,0.0006
88005,174,0.0005,36,0.0011
88006,174,0.0005,4,0.0003
88007,174,0.0005,14,0.0013
88008,174,0.0005,22,0.0007
88009,265,0.0004,68,0.0008
88010,265,0.0004,68,0.0008
88011,265,0.0004,87,0.0003
88012,265,0.0004,87,0.0003
88013,265,0.0004,87,0.0003
88014,265,0.0004,87,0.0003
88015,265,0.0004,87,0.0003
88016,265,0.0004,87,0.0003
88017,265,0.0004,87,0.0003
88018,265,0.0004,87,0.0003
88019,265,0.0004,87,0.0003
88020,263,0.0006,44,0.0012
88021,263,0.0006,58,0.0008
88022,263,0.0006,32,0.0006
88023,263,0.0006,18,0.0003
88024,263,0.0006,18,0.0003
88025,404,0.0005,51,0.0004
88026,404,0.0005,5,0.0004
88027,404,0.0005,23,0.0013
88028,404,0.0005,38,0.0009
88029,404,0.0005,31,0.0002
88030,404,0.0005,31,0.0002
88031,404,0.0005,31,0.0002
88032,404,0.0005,38,0.0007
88034,404,0.0005,39,0.0004
88035,404,0.0005,21,0.0007
88036,982,0.0006,92,0.0005
88037,982,0.0006,35,0.0004
88038,982,0.0006,68,0.0005
88039,982,0.0006,68,0.0005
88040,982,0.0006,68,0.0005
88041,982,0.0006,108,0.0008
88042,982,0.0006,108,0.0008
88043,982,0.0006,25,0.0004
88044,982,0.0006,25,0.0004
88045,982,0.0006,40,0.0009
88046,982,0.0006,220,0.0009
88047,982,0.0006,40,0.0009
88048,982,0.0006,220,0.0009
88050,982,0.0006,220,0.0009
88051,982,0.0006,220,0.0009
88052,982,0.0006,220,0.0009
88053,982,0.0006,220,0.0009
88054,982,0.0006,220,0.0009
88056,982,0.0006,220,0.0009
88057,982,0.0006,220,0.0009
88058,982,0.0006,220,0.0009
88059,982,0.0006,220,0.0009
88060,982,0.0006,220,0.0009
88061,982,0.0006,220,0.0009
88063,982,0.0006,220,0.0009
88064,982,0.0006,4,0.0002
88065,982,0.0006,16,0.0005
88066,982,0.0006,97,0.0003
88067,982,0.0006,97,0.0003
88068,982,0.0006,97,0.0003
88069,982,0.0006,97,0.0003
88070,982,0.0006,97,0.0003
88071,982,0.0006,69,0.0005
88072,982,0.0006,69,0.0005
88073,982,0.0006,69,0.0005
88074,128,0.0005,10,0.0008
88075,128,0.0005,18,0.0003
88076,128,0.0005,18,0.0003
88077,128,0.0005,18,0.0003
88078,128,0.0005,10,0.0010
88079,128,0.0005,1,0.0001
88080,218,0.0006,3,0.0002
88081,218,0.0006,3,0.0003
88082,218,0.0006,21,0.0005
88083,218,0.0006,29,0.0013
88084,79,0.0005,24,0.0003
88085,79,0.0005,28,0.0006
88086,83,0.0005,1,0.0001
88087,83,0.0005,1,0.0002
88088,83,0.0005,13,0.0002
88089,83,0.0005,13,0.0002
88090,210,0.0006,2,0.0001
88091,210,0.0006,10,0.0005
88092,279,0.0006,125,0.0005
88093,279,0.0006,125,0.0005
88094,279,0.0006,125,0.0005
88095,982,0.0006,9,0.0006
88096,982,0.0006,220,0.0009
88097,404,0.0005,38,0.0007
88098,982,0.0006,54,0.0005
88099,982,0.0006,97,0.0003
88100,982,0.0006,92,0.0005
88101,404,0.0005,38,0.0009
88102,263,0.0006,N/A,N/A
88103,982,0.0006,220,0.0009
88104,218,0.0006,5,0.0005
88105,83,0.0005,8,0.0005
88106,83,0.0005,13,0.0002
88107,83,0.0005,8,0.0005
88108,265,0.0004,6,0.0003
88109,404,0.0005,31,0.0002
88110,83,0.0005,12,0.0006
88111,265,0.0004,6,0.0003
88112,218,0.0006,15,0.0007
88113,80,0.0004,15,0.0005
88114,79,0.0005,28,0.0006
88115,263,0.0006,10,0.0004
88116,218,0.0006,14,0.0005
88117,265,0.0004,6,0.0003
88118,404,0.0005,11,0.0005
88120,263,0.0006,16,0.0021
88121,982,0.0006,220,0.0009
88122,265,0.0004,33,0.0008
88123,404,0.0005,13,0.0007
88124,404,0.0005,5,0.0003
88125,982,0.0006,220,0.0009
88126,982,0.0006,220,0.0009
88127,404,0.0005,38,0.0007
88128,83,0.0005,16,0.0006
88129,265,0.0004,87,0.0003
88130,982,0.0006,34,0.0007
88131,79,0.0005,0,0.0000
88132,263,0.0006,N/A,N/A
88133,265,0.0004,11,0.0004
88134,218,0.0006,29,0.0013
88135,982,0.0006,69,0.0005
88136,174,0.0005,4,0.0005
88139,279,0.0006,125,0.0005
88140,982,0.0006,220,0.0009
88141,982,0.0006,12,0.0005
88144,404,0.0005,31,0.0002
88145,404,0.0005,31,0.0002
88146,265,0.0004,33,0.0008
88148,982,0.0006,108,0.0008
88149,210,0.0006,36,0.0007
88150,404,0.0005,11,0.0005
88151,982,0.0006,97,0.0003
88152,265,0.0004,87,0.0003
88153,265,0.0004,24,0.0003
88154,263,0.0006,18,0.0003
88155,982,0.0006,97,0.0003
88156,982,0.0006,32,0.0002
88157,174,0.0005,8,0.0007
88158,79,0.0005,24,0.0003
88159,982,0.0006,220,0.0009
88160,404,0.0005,9,0.0006
88161,404,0.0005,31,0.0002
88162,218,0.0006,24,0.0007
88164,83,0.0005,8,0.0005
88165,79,0.0005,24,0.0003
88166,210,0.0006,10,0.0005
88167,218,0.0006,43,0.0006
88168,218,0.0006,15,0.0007
88169,279,0.0006,125,0.0005
88170,218,0.0006,34,0.0012
88171,79,0.0005,28,0.0006
88172,79,0.0005,6,0.0005
88173,210,0.0006,10,0.0005
88174,94,0.0005,7,0.0003
88175,79,0.0005,28,0.0006
88176,218,0.0006,21,0.0005
88177,79,0.0005,24,0.0003
88178,218,0.0006,43,0.0006
88179,83,0.0005,1,0.0001
88180,79,0.0005,24,0.0003
88181,265,0.0004,87,0.0003
88182,982,0.0006,97,0.0003
88184,404,0.0005,38,0.0007
88185,982,0.0006,220,0.0009
88186,79,0.0005,24,0.0003
88187,79,0.0005,24,0.0003
90000,982,0.0006,32,0.0002
90002,265,0.0004,87,0.0003
90003,263,0.0006,18,0.0003
90004,80,0.0004,15,0.0005
90005,982,0.0006,68,0.0005
90006,982,0.0006,34,0.0007
90008,79,0.0005,24,0.0003
90009,83,0.0005,13,0.0002
90010,210,0.0006,8,0.0004
90011,279,0.0006,125,0.0005
90012,94,0.0005,7,0.0003
90013,87,0.0003,7,0.0002
90014,404,0.0005,38,0.0007
90015,79,0.0005,28,0.0006
90016,210,0.0006,55,0.0007
90017,265,0.0004,87,0.0003
90020,982,0.0006,220,0.0009
90026,982,0.0006,68,0.0005
90031,982,0.0006,54,0.0005
90036,79,0.0005,24,0.0003
90038,174,0.0005,51,0.0004
90039,265,0.0004,87,0.0003
90042,982,0.0006,108,0.0008
90044,982,0.0006,220,0.0009
90046,83,0.0005,13,0.0002
90047,982,0.0006,220,0.0009
90050,982,0.0006,35,0.0004
90051,982,0.0006,35,0.0004
90052,87,0.0003,7,0.0002
90053,982,0.0006,35,0.0004
90054,263,0.0006,58,0.0008
20210,404,0.0005,31,0.0002
