,School ID,School Name,Administrative Body,Department Name,Municipality Name,Canton Name,Hamlet Name,Address,Who provided the data?
3772,60058.0,CENTRO ESCOLAR CASERIO LA LOMA CANTON LOS AMATES,CDE,AHUACHAPAN,JUJUTLA,LOS AMATES ,LA LOMA,CASERIO LA LOMA CANTON LOS AMATES,Director(a)
3773,60059.0,CENTRO ESCOLAR CANTON TIHUICHA,CDE,AHUACHAPAN,JUJUTLA,TIHUICHA,,A 7 KM DE JUJUTLA PASANDO POR RIO EL ROSARIO E IGLESIA CATOLICA,Director(a)
3774,60060.0,CENTRO ESCOLAR CASERIO LA HONDA CANTON SAN DIEGO,CDE,SAN MIGUEL,SAN ANTONIO,SAN DIEGO,LA HONDA,"CASERIO LA HONDA, CANTON SAN DIEGO, CALLE PRINCIPAL",Director(a)
3775,60061.0,CENTRO ESCOLAR CASERIO SAN ANTONIO EN MEDIO CANTON SAN ANTONIO ,CDE,AHUACHAPAN,JUJUTLA,SAN ANTONIO ENMEDIO,,CARRETERA HACIA LA HACHADURA ENTRADA AL CEIBILLO CALLE A SAN JOSE EL NARANJO DESVIO EL CAPULIN A TRES KILOMETROS,Director(a)
3776,60062.0,CENTRO ESCOLAR CASERIO SAN ALFONSO CANTON SAN BENITO ,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SAN BENITO,SAN ALFONSO,"CASERIO SAN ALFONSO, CANTON SAN BENITO",Director(a)
3777,60063.0,COMPLEJO EDUCATIVO CASERIO EL REFUGIO CANTON SAN BENITO ,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SAN BENITO,EL REFUGIO,CASERIO EL REFUGIO CANTON SAN BENITO 8 KM AL NORTE SOBRE PUENTE AHUACHAPIO CALLE AL BOSQUE IMPOSIBLE,Director(a)
3778,60064.0,"CENTRO ESCOLAR CASERIO SAN BENITO, CANTON SAN BENITO",CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SAN BENITO,SAN BENITO,"CASERIO SAN BENITO, CANTON SAN BENITO",Director(a)
3779,60065.0,CENTRO ESCOLAR CASERIO SAN MIGUELITO CANTON SAN BENITO,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SAN BENITO,SAN MIGUELITO,"CASERIO SAN MIGUELITO, CANTON SAN BENITO",Director(a)
3780,60066.0,"CENTRO ESCOLAR CASERIO EL CHINO, CANTON GARITA PALMERA",CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,GARITA PALMERA,EL CHINO,COOPERATIVA Y CASERIO EL CHINO,Director(a)
3781,60067.0,CENTRO ESCOLAR CASERIO PLAYA BOLA DE MONTE,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,GARITA PALMERA,PLAYA BOLA DE MONTE,CASERIO PLAYA BOLA DE MONTE,Director(a)
3782,60068.0,CENTRO ESCOLAR CASERIO RANCHO SAN MARCOS CANTON LA HACHADURA ,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,LA HACHADURA,RANCHO SAN MARCOS,CASERIO RANCHO SAN MARCOS CANTON LA HACHADURA,Director(a)
3783,60069.0,CENTRO ESCOLAR CASERIO EL GOLONDRINO CANTON SACRAMENTO ,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SACRAMENTO ,EL GOLONDRINO ,CASERIO E GOLONDRINO CANTON SACRAMENTO,Director(a)
3784,60070.0,CENTRO ESCOLAR CASERIO LA MAQUINA,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,SACRAMENTO ,LA MAQUINA,"CASERIO LA MAQUINA, CANTON SACRAMENTO",Director(a)
3785,60072.0,"CENTRO ESCOLAR CASERIO LA CEIBA, CANTON LA CEIBA",CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,LA CEIBA,LA CEIBA,"KM 119 CARRETERA LITORAL HACIA LA HACHADURA, DESVIO EL MORA A CANTON LA CEIBA",Director(a)
3786,60073.0,CENTRO ESCOLAR CASERIO EL CORTIJO CANTON EL COROZO,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,EL COROZO,EL CORTIJO,"CASERIO EL CORTIJO, CANTON EL COROZO",Director(a)
3787,60074.0,CENTRO ESCOLAR CASERIO LOS ENCUENTROS CANTON EL COROZO,CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,EL COROZO,LOS ENCUENTROS,"CASERIO LOS ENCUENTROS CANTON EL COROZO, CALLE PRINCIPAL, ENTRADA DEL CORREO",Director(a)
3788,60075.0,"CENTRO ESCOLAR CASERIO TAMASHA, CANTON EL COROZO",CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,EL COROZO,TAMASHA,CASERIO TAMASHA CANTON EL COROZO,Director(a)
3789,60076.0,"CENTRO ESCOLAR CASERIO EL PORVENIR, CANTON EL ZAPOTE",CDE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ,EL ZAPOTE,EL PORVENIR,"CASERIO EL PORVENIR ,CANTON EL ZAPOTE , CALLE A LA PLAYA ",Director(a)
3790,60077.0,"CENTRO ESCOLAR CASERIO SAN MATIAS, CANTON EL JICARAL",CDE,AHUACHAPAN,SAN LORENZO,EL JICARAL,SAN MATIAS,"CASERIO SAN MATIAS, CANTON EL JICARAL",Director(a)
3791,60079.0,CENTRO ESCOLAR CANTON PULULAPA,CDE,AHUACHAPAN,SAN PEDRO PUXTLA,PULULAPA,,A UN KILOMETRO DEL CEMENTERIO MUNICIPAL SOBRE CALLE QUE CONDUCE AL CANTON LA ESPERANZA,Director(a)
3792,60080.0,CENTRO ESCOLAR CASERIO SAN DIEGUITO CANTON SAN DIEGO ,CDE,SAN MIGUEL,SAN ANTONIO,SAN DIEGO,SAN DIEGUITO,"CASERIO SAN DIEGUITO, CANTON SAN DIEGO",Director(a)
3793,60081.0,CENTRO ESCOLAR CANTON EL DURAZNO,CDE,AHUACHAPAN,SAN PEDRO PUXTLA,EL DURAZNO,,CANTON EL DURAZNO,Director(a)
3794,60082.0,CENTRO ESCOLAR CANTON TEXISPULCO,CDE,AHUACHAPAN,SAN PEDRO PUXTLA,TEXISPULCO,,CANTON TEXISPULCO,Director(a)
3795,60083.0,CENTRO ESCOLAR CASERIO EL CARRIZAL CANTON EL JICARO,CDE,AHUACHAPAN,TACUBA,EL JICARO ,EL CARRIZAL,CASERIO EL CARRIZAL CANTON EL JICARO,Director(a)
3796,60084.0,COMPLEJO EDUCATIVO CANTON EL JICARO,CDE,AHUACHAPAN,TACUBA,CANTON EL JICARO,JICARO CENTRO,CANTON EL JICARO,Director(a)
3797,60085.0,CENTRO ESCOLAR CASERIO EL MOLINO CANTON EL NISPERO ,CDE,AHUACHAPAN,TACUBA,EL NISPERO,EL MOLINO,"CASERIO EL MOLINO, CANTON EL NISPERO",Director(a)
3798,60086.0,"CENTRO ESCOLAR CASERIO ASHUQUEMA, CANTON EL NISPERO",CDE,AHUACHAPAN,TACUBA,EL NISPERO,ASHUQUEMA,CASERIO ASHUQUEMA CANTON EL NISPERO,Director(a)
3799,60087.0,"CENTRO ESCOLAR CASERIO EL RODEO II, CANTON EL RODEO",CDE,AHUACHAPAN,TACUBA,EL RODEO,EL RODEO II,"CASERIO EL RODEO II, CANTON EL RODEO",Director(a)
3800,60088.0,CENTRO ESCOLAR CANTON EL RODEO,CDE,AHUACHAPAN,TACUBA,EL RODEO,,CALLE PRINCIPAL DEL CANTON 50 METROS ABAJO DE ECOS FAMILIARES,Director(a)
3801,60089.0,CENTRO ESCOLAR CASERIO SANTA TERESA CANTON EL ROSARIO,CDE,AHUACHAPAN,TACUBA,EL ROSARIO ,SANTA TERESA,CASERIO SANTA TERESA CANTON EL ROSARIO,Director(a)
