,Dropout rate
0,0.04914196567862714
1,0.020599250936329586
2,0.0936599423631124
3,0.053763440860215055
4,0.045454545454545456
5,0.057096247960848286
6,0.01466275659824047
7,0.03758169934640523
8,0.09523809523809523
9,0.008888888888888889
10,0.0594059405940594
11,0.06884875846501129
12,0.037783375314861464
13,0.048013245033112585
14,0.03137254901960784
15,0.03559870550161812
16,0.043478260869565216
17,0.014150943396226415
18,0.07142857142857142
19,0.01098901098901099
20,0.05148658448150834
21,0.016930022573363433
22,0.011450381679389313
23,0.044854881266490766
24,0.0
25,0.004434589800443459
26,0.1935483870967742
27,0.00958627648839556
28,0.11428571428571428
29,0.06273062730627306
30,0.0684931506849315
31,0.04063604240282685
32,0.03588516746411483
33,0.0
34,0.07692307692307693
35,0.020833333333333332
36,0.01694915254237288
37,0.03731343283582089
38,0.0189873417721519
39,0.024390243902439025
40,0.014428412874583796
41,0.0603290676416819
42,0.049239681390296886
43,0.0410958904109589
44,0.14393939393939395
45,0.01263823064770932
46,0.12578616352201258
47,0.058823529411764705
48,0.1419753086419753
49,0.022298456260720412
50,0.09375
51,0.10469314079422383
52,0.05714285714285714
53,0.10245901639344263
54,0.05426356589147287
55,0.11764705882352941
56,0.02711864406779661
57,0.04477611940298507
58,0.04878048780487805
59,0.03571428571428571
60,0.016566265060240965
61,0.003484320557491289
62,0.0
63,0.057608695652173914
64,0.06312625250501001
65,0.05825242718446602
66,0.002583979328165375
67,0.03806870937790158
68,0.011834319526627219
69,0.14285714285714285
70,0.0
71,0.13464991023339318
72,0.06018518518518518
73,0.1875
74,0.0
75,0.010526315789473684
76,0.0
77,0.10256410256410256
78,0.02
79,0.036920659858601726
80,0.055710306406685235
81,0.0
82,0.022463206816421378
83,0.058695652173913045
84,0.040901502504173626
85,0.014814814814814815
86,0.005417118093174431
87,0.08277027027027027
88,0.10810810810810811
89,0.05454545454545454
90,0.0
91,0.007518796992481203
92,0.0
93,0.2916666666666667
94,0.06457242582897033
95,0.20958083832335328
96,0.07096774193548387
97,0.0
98,0.17391304347826086
99,0.02531645569620253
100,0.008130081300813009
101,0.0
102,0.13541666666666666
103,0.041666666666666664
104,0.0
105,0.035326086956521736
106,0.09416445623342175
107,0.11395348837209303
108,0.031007751937984496
109,0.04975124378109453
110,0.10431654676258993
111,0.04888888888888889
112,0.022727272727272728
113,0.04597701149425287
114,0.05154639175257732
115,0.05194805194805195
116,0.008695652173913044
117,0.21714285714285714
118,0.05970149253731343
119,0.0
120,0.091796875
121,0.0
122,0.12173913043478261
123,0.03517110266159696
124,0.10191082802547771
125,0.1647940074906367
126,0.16047297297297297
127,0.1575091575091575
128,0.05092592592592592
129,0.3
130,0.007751937984496124
131,0.023411371237458192
132,0.0684931506849315
133,0.10077519379844961
134,0.010752688172043012
135,0.03773584905660377
136,0.01282051282051282
137,0.07010309278350516
138,0.025974025974025976
139,0.0
140,0.010752688172043012
141,0.04385026737967915
142,0.01856763925729443
143,0.041666666666666664
144,0.08391608391608392
145,0.034482758620689655
146,0.02
147,0.2807017543859649
148,0.041666666666666664
149,0.007575757575757576
150,0.04477611940298507
151,0.05063291139240506
152,0.04277566539923954
153,0.02881844380403458
154,0.026865671641791045
155,0.11224489795918367
156,0.008530805687203791
157,0.016867469879518072
158,0.05507246376811594
159,0.16463414634146342
160,0.08020698576972833
161,0.08495575221238938
162,0.02054794520547945
163,0.06126482213438735
164,0.0
165,0.017699115044247787
166,0.17355371900826447
167,0.0
168,0.023809523809523808
169,0.07142857142857142
170,0.0
171,0.0763888888888889
172,0.007246376811594203
173,0.07665505226480836
174,0.03494623655913978
175,0.040372670807453416
176,0.05517241379310345
177,0.012195121951219513
178,0.043478260869565216
179,0.0782312925170068
180,0.03125
181,0.0
182,0.023026315789473683
183,0.0
184,0.15819209039548024
185,0.013333333333333334
186,0.07657657657657657
187,0.0966183574879227
188,0.012658227848101266
189,0.04938271604938271
190,0.05555555555555555
191,0.06896551724137931
192,0.1568627450980392
193,0.04225352112676056
194,0.4418604651162791
195,0.13972055888223553
196,0.047619047619047616
197,0.12380952380952381
198,0.0
199,0.0047169811320754715
200,0.044715447154471545
201,0.09146341463414634
202,0.08333333333333333
203,0.016666666666666666
204,0.07662835249042145
205,0.044964028776978415
206,0.0627177700348432
207,0.09433962264150944
208,0.0
209,0.005291005291005291
210,0.032171581769437
211,0.02127659574468085
212,0.13387978142076504
213,0.0
214,0.10256410256410256
215,0.008888888888888889
216,0.1951219512195122
217,0.07262569832402235
218,0.06666666666666667
219,0.1111111111111111
220,0.07142857142857142
221,0.005791505791505791
222,0.0
223,0.02880658436213992
224,0.0
225,0.08045977011494253
226,0.18518518518518517
227,0.05573770491803279
228,0.0036496350364963502
229,0.07878787878787878
230,0.059813084112149535
231,0.039473684210526314
232,0.035483870967741936
233,0.3333333333333333
234,0.0
235,0.04831358249772106
236,0.02735042735042735
237,0.009557945041816009
238,0.04723346828609987
239,0.05837004405286344
240,0.03814262023217247
241,0.045813586097946286
242,0.03271028037383177
243,0.01707317073170732
244,0.03636363636363636
245,0.06982543640897755
246,0.03206997084548105
247,0.013513513513513514
248,0.08945686900958466
249,0.24242424242424243
250,0.06220839813374806
251,0.04218181818181818
252,0.009787928221859706
253,0.0186219739292365
254,0.044534412955465584
255,0.11518324607329843
256,0.04513064133016627
257,0.007183908045977011
258,0.07692307692307693
259,0.07692307692307693
260,0.043478260869565216
261,0.060759493670886074
262,0.025
263,0.2727272727272727
264,0.05
265,0.11842105263157894
266,0.0196078431372549
267,0.08949416342412451
268,0.06818181818181818
269,0.028169014084507043
270,0.06146341463414634
271,0.02857142857142857
272,0.3
273,0.0539906103286385
274,0.05
275,0.0
276,0.14814814814814814
277,0.024390243902439025
278,0.21782178217821782
279,0.0
280,0.04
281,0.0
282,0.02654867256637168
283,0.015384615384615385
284,0.03271028037383177
285,0.046153846153846156
286,0.125
287,0.07333333333333333
288,0.10144927536231885
289,0.03571428571428571
290,0.0
291,0.0
292,0.0
293,0.053128689492325853
294,0.11470588235294117
295,0.08080808080808081
296,0.15172413793103448
297,0.0058823529411764705
298,0.018604651162790697
299,0.018518518518518517
300,0.0
301,0.049586776859504134
302,0.05357142857142857
303,0.0
304,0.06744186046511629
305,0.023255813953488372
306,0.1724137931034483
307,0.027777777777777776
308,0.06842105263157895
309,0.01639344262295082
310,0.0
311,0.016129032258064516
312,0.07407407407407407
313,0.024390243902439025
314,0.12903225806451613
315,0.0
316,0.06972301814708691
317,0.06524064171122995
318,0.02737047898338221
319,0.0018587360594795538
320,0.05223880597014925
321,0.06440677966101695
322,0.021739130434782608
323,0.041666666666666664
324,0.05555555555555555
325,0.05172413793103448
326,0.007874015748031496
327,0.052823315118397086
328,0.08333333333333333
329,0.059782608695652176
330,0.04201680672268908
331,0.037089871611982884
332,0.03333333333333333
333,0.08411214953271028
334,0.022727272727272728
335,0.12903225806451613
336,0.08933933933933934
337,0.038135593220338986
338,0.07
339,0.0
340,0.11764705882352941
341,0.03409090909090909
342,0.017948717948717947
343,0.04537405931828242
344,0.043478260869565216
345,0.033444816053511704
346,0.0210727969348659
347,0.04285714285714286
348,0.11494252873563218
349,0.09784735812133072
350,0.03827751196172249
351,0.0
352,0.06772908366533864
353,0.07575757575757576
354,0.16666666666666666
355,0.05714285714285714
356,0.07439824945295405
357,0.0
358,0.037037037037037035
359,0.0963855421686747
360,0.05734767025089606
361,0.024390243902439025
362,0.10493827160493827
363,0.049079754601226995
364,0.06358381502890173
365,0.18181818181818182
366,0.046242774566473986
367,0.003663003663003663
368,0.09905254091300603
369,0.007483629560336763
370,0.037037037037037035
371,0.047619047619047616
372,0.01020408163265306
373,0.0
374,0.0
375,0.0
376,0.06903622693096377
377,0.052734375
378,0.030042918454935622
379,0.15217391304347827
380,0.3333333333333333
381,0.02631578947368421
382,0.00558659217877095
383,0.0748502994011976
384,0.02577319587628866
385,0.0
386,0.06349206349206349
387,0.0234375
388,0.06451612903225806
389,0.0169971671388102
390,0.0761904761904762
391,0.019736842105263157
392,0.1787819253438114
393,0.0
394,0.0
395,0.21875
396,0.06779661016949153
397,0.013888888888888888
398,0.08205128205128205
399,0.03317535545023697
400,0.0915032679738562
401,0.08595988538681948
402,0.019801980198019802
403,0.0
404,0.043356643356643354
405,0.0030959752321981426
406,0.07023933402705515
407,0.0995850622406639
408,0.0
409,0.014005602240896359
410,0.03418803418803419
411,0.058823529411764705
412,0.011583011583011582
413,0.014792899408284023
414,0.23809523809523808
415,0.04681647940074907
416,0.021806853582554516
417,0.07894736842105263
418,0.031818181818181815
419,0.030303030303030304
420,0.13162118780096307
421,0.05514705882352941
422,0.059770114942528735
423,0.04927536231884058
424,0.043256997455470736
425,0.04
426,0.08333333333333333
427,0.09257265877287406
428,0.08924949290060852
429,0.05396825396825397
430,0.09523809523809523
431,0.07534246575342465
432,0.06155950752393981
433,0.05454545454545454
434,0.10270270270270271
435,0.028662420382165606
436,0.045
437,0.04950495049504951
438,0.056818181818181816
439,0.015151515151515152
440,0.08791208791208792
441,0.10526315789473684
442,0.0967741935483871
443,0.057692307692307696
444,0.004273504273504274
445,0.06824925816023739
446,0.05128205128205128
447,0.005050505050505051
448,0.1597222222222222
449,0.08494208494208494
450,0.0
451,0.013793103448275862
452,0.060240963855421686
453,0.0
454,0.07537688442211055
455,0.038461538461538464
456,0.034482758620689655
457,0.040780141843971635
458,0.09230769230769231
459,0.08470588235294117
460,0.0
461,0.036231884057971016
462,0.039473684210526314
463,0.03488372093023256
464,0.004629629629629629
465,0.11475409836065574
466,0.0
467,0.12732919254658384
468,0.05865102639296188
469,0.04411764705882353
470,0.028400597907324365
471,0.10416666666666667
472,0.04020100502512563
473,0.03125
474,0.06880733944954129
475,0.10526315789473684
476,0.00546448087431694
477,0.0676056338028169
478,0.06451612903225806
479,0.0043859649122807015
480,0.08424908424908426
481,0.1511627906976744
482,0.01639344262295082
483,0.09672727272727273
484,0.0784313725490196
485,0.0
486,0.006514657980456026
487,0.0
488,0.08943089430894309
489,0.05237515225334957
490,0.0338680926916221
491,0.0055248618784530384
492,0.0
493,0.059202059202059204
494,0.023430962343096235
495,0.01002004008016032
496,0.02459016393442623
497,0.027777777777777776
498,0.12857142857142856
499,0.047619047619047616
500,0.0673076923076923
501,0.05741626794258373
502,0.02618657937806874
503,0.0
504,0.011396011396011397
505,0.06511627906976744
506,0.04
507,0.04436860068259386
508,0.09059233449477352
509,0.008
510,0.044444444444444446
511,0.0684931506849315
512,0.15895953757225434
513,0.4230769230769231
514,0.07906976744186046
515,0.15384615384615385
516,0.06060606060606061
517,0.05434782608695652
518,0.08620689655172414
519,0.07253886010362694
520,0.037037037037037035
521,0.07216494845360824
522,0.061224489795918366
523,0.03333333333333333
524,0.039149888143176735
525,0.125
526,0.06060606060606061
527,0.017543859649122806
528,0.07142857142857142
529,0.07575757575757576
530,0.037037037037037035
531,0.06527415143603134
532,0.06583072100313479
533,0.06666666666666667
534,0.01312910284463895
535,0.0752212389380531
536,0.003372681281618887
537,0.11382113821138211
538,0.05473684210526316
539,0.0025575447570332483
540,0.0630068621334997
541,0.06474820143884892
542,0.16666666666666666
543,0.040413533834586464
544,0.03496503496503497
545,0.010948905109489052
546,0.01858736059479554
547,0.13333333333333333
548,0.039532794249775384
549,0.0008916629514043691
550,0.010743801652892562
551,0.0
552,0.0
553,0.07816091954022988
554,0.0
555,0.027777777777777776
556,0.07692307692307693
557,0.125
558,0.005235602094240838
559,0.017857142857142856
560,0.006622516556291391
561,0.02631578947368421
562,0.12598425196850394
563,0.2
564,0.014814814814814815
565,0.0
566,0.14285714285714285
567,0.1
568,0.008766014834794335
569,0.034976152623211444
570,0.14432989690721648
571,0.047244094488188976
572,0.07462686567164178
573,0.11538461538461539
574,0.0
575,0.5
576,0.09215017064846416
577,0.05405405405405406
578,0.04103671706263499
579,0.020999275887038378
580,0.0
581,0.11764705882352941
582,0.13196125907990314
583,0.07254623044096728
584,0.14380165289256197
585,0.0
586,0.0
587,0.08064516129032258
588,0.0
589,0.012834224598930482
590,0.046511627906976744
591,0.03333333333333333
592,0.1132420091324201
593,0.08879492600422834
594,0.041666666666666664
595,0.05818965517241379
596,0.01092896174863388
597,0.08
598,0.03798882681564246
599,0.0423728813559322
600,0.008928571428571428
601,0.060882800608828
602,0.02531645569620253
603,0.1220159151193634
604,0.021518987341772152
605,0.04092526690391459
606,0.07272727272727272
607,0.022222222222222223
608,0.0
609,0.04692556634304207
610,0.4375
611,0.03015075376884422
612,0.041742286751361164
613,0.09523809523809523
614,0.0196078431372549
615,0.018726591760299626
616,0.02190923317683881
617,0.0
618,0.09686609686609686
619,0.16666666666666666
620,0.09924937447873228
621,0.11764705882352941
622,0.07142857142857142
623,0.043478260869565216
624,0.06424581005586592
625,0.0625
626,0.023809523809523808
627,0.04060913705583756
628,0.009216589861751152
629,0.10256410256410256
630,0.17857142857142858
631,0.10266159695817491
632,0.05333333333333334
633,0.05116279069767442
634,0.1258023106546855
635,0.13224368499257058
636,0.052307692307692305
637,0.025780189959294438
638,0.1473063973063973
639,0.06779661016949153
640,0.01694915254237288
641,0.09166173861620343
642,0.01646090534979424
643,0.05214723926380368
644,0.1091703056768559
645,0.07084468664850137
646,0.04588607594936709
647,0.04716981132075472
648,0.0060790273556231
649,0.06188118811881188
650,0.044
651,0.07592190889370933
652,0.0
653,0.047619047619047616
654,0.09230769230769231
655,0.05825242718446602
656,0.1696969696969697
657,0.16981132075471697
658,0.08108108108108109
659,0.04329004329004329
660,0.25688073394495414
661,0.16666666666666666
662,0.0
663,0.010526315789473684
664,0.006578947368421052
665,0.1
666,0.08
667,0.0
668,0.14634146341463414
669,0.0
670,0.0
671,0.05434782608695652
672,0.043478260869565216
673,0.042105263157894736
674,0.05555555555555555
675,0.0743801652892562
676,0.13131313131313133
677,0.10112359550561797
678,0.09090909090909091
679,0.049079754601226995
680,0.04
681,0.11363636363636363
682,0.0673076923076923
683,0.09803921568627451
684,0.09933774834437085
685,0.0
686,0.0
687,0.016666666666666666
688,0.14084507042253522
689,0.09523809523809523
