iter	RMSE
0	0.07074507304
1	0.06920960269
2	0.06799221062
3	0.066984733
4	0.06568864742
5	0.06506085271
6	0.06446694853
7	0.0635052264
8	0.06239660868
9	0.0618109722
10	0.06123879639
11	0.06066815392
12	0.06036821603
13	0.05972206253
14	0.05904524994
15	0.05861736669
16	0.0582873658
17	0.05778682806
18	0.05759812781
19	0.05735818638
20	0.05709337902
21	0.05693414251
22	0.05654363306
23	0.05633287009
24	0.05608638371
25	0.05592828744
26	0.05573867322
27	0.05554579318
28	0.05545704227
29	0.0553164492
30	0.0550029373
31	0.05488731051
32	0.05463647976
33	0.05431744357
34	0.05415207769
35	0.05401301296
36	0.05382647198
37	0.05331783957
38	0.0530547799
39	0.05280184958
40	0.052735077
41	0.05271076064
42	0.05256205273
43	0.05251334343
44	0.05234530566
45	0.05213791948
46	0.05206190965
47	0.05186139601
48	0.05147880784
49	0.05131005694
50	0.0511596864
51	0.05100370509
52	0.05065947714
53	0.05061843517
54	0.05030444324
55	0.04939643414
56	0.04907585575
57	0.04877695157
58	0.0486302758
59	0.04841221868
60	0.0483346107
61	0.04804011402
62	0.04800143597
63	0.0477910746
64	0.04777740759
65	0.04774456099
66	0.0475945022
67	0.04746998985
68	0.04718696264
69	0.04692440777
70	0.04663381637
71	0.04659948958
72	0.04655050029
73	0.04645800793
74	0.04633073895
75	0.0457401337
76	0.04571421506
77	0.04556078043
78	0.04550112138
79	0.04542262558
80	0.0451597862
81	0.04499002125
82	0.04487560606
83	0.04473826829
84	0.0446747466
85	0.0445321327
86	0.04446344765
87	0.04388148953
88	0.04375147865
89	0.04349134837
90	0.04333136068
91	0.04320701669
92	0.04307278676
93	0.04303333022
94	0.04286362136
95	0.04285406904
96	0.04266302313
97	0.0425841065
98	0.04235589887
99	0.04223429339
100	0.04222765314
101	0.0421819928
102	0.04214916676
103	0.04207113378
104	0.04159463938
105	0.0415756917
106	0.04152091244
107	0.04135624412
108	0.04117760059
109	0.04102654548
110	0.04086825798
111	0.04076729238
112	0.0406150148
113	0.04056357795
114	0.04045761764
115	0.04043657727
116	0.04028278252
117	0.04019938362
118	0.04000970779
119	0.03997857327
120	0.03987675941
121	0.03965529339
